Agglomération,Echantillon,A pied,A pied (+/-),Vélo,Vélo (+/-),Deux-roues motorisé,Deux-roues motorisé (+/-),Voiture,Voiture (+/-),Transports publics routiers,Transports publics routiers (+/-),Train,Train (+/-),Autres,Autres (+/-)
Agglomération Bellinzona,630,0.046627829505153144,0.01575267503764317,0.018131285677000588,0.009968768032321019,0.012365895764188764,0.008256791324214112,0.8224752219751829,0.0285490314900044,0.02079400400881319,0.010661211832786056,0.07204430690014814,0.019318078787214813,0.007561456169513193,0.006472245911801493
Agglomération Locarno,580,0.08120518906017755,0.021269531046764482,0.031653182212947474,0.013632669639838784,0.018088489191952394,0.010377531966058517,0.7575574287195617,0.03337098134355058,0.04185276078872589,0.015593188851588589,0.06740439154133308,0.01952304414098056,0.002238558485301717,0.0036800552406878353
Agglomération Chiasso-Mendrisio (CH),604,0.05715831916044678,0.017713786078276453,0.008732365337263206,0.007099270040547651,0.03127658385689607,0.013281949939857821,0.7441994324889163,0.0332925992712844,0.031470146794688576,0.013321654761686104,0.09338617301171168,0.02220264641036307,0.03377697935007737,0.013784828862311582
Agglomération de taille K,10884,0.05318038060433705,0.004033535019950025,0.022898213981220997,0.002688730015136986,0.015190436207669706,0.0021985570444024247,0.6595496975111027,0.008517793596172182,0.022930057333045983,0.0026905550607938655,0.19532560179333722,0.007126333857924577,0.030925612569286342,0.0031118180827388545
Agglomération de taille M,17981,0.05651886264499677,0.003229439485225955,0.023526797857509357,0.0021197049218911676,0.012996124679490495,0.0015839088908319449,0.6339601048170291,0.006736883054958244,0.03892312552773745,0.002704872199071692,0.20960488589330134,0.005692285280412404,0.024470098579935356,0.0021607373814321396
Agglomération de taille G,21374,0.06569884510368404,0.00317797269608546,0.022848724353284628,0.001916636400462479,0.01374826007637271,0.0014936388865443323,0.5936215494653558,0.006300108301612323,0.06337614574318293,0.0031251680103563588,0.22183475564405608,0.005329402984273195,0.01887171961406387,0.0017454060856564916
Toutes les agglomérations,50239,0.060424895767526056,0.0019935354636658373,0.023105628875217953,0.0012569932941159274,0.013690209101165052,0.0009722142299539709,0.6184513814825623,0.0040642272669163485,0.04825155767197324,0.001792945203851222,0.21331842933904557,0.00342739325140855,0.022757897762509742,0.0012477208033639482
Hors agglomérations,12629,0.04381690778325287,0.003415683837975098,0.017628190197912338,0.0021959784886491215,0.014695972482721182,0.0020080317069170375,0.7252411301711051,0.00744909213034021,0.026452418612437436,0.002677919739329203,0.14392030007399884,0.005857393478362755,0.02824508067857215,0.0027646238844699004
Ville isolée (commune BFS) Lyss,75,0.05042017404796366,0.04738141559935645,0.04388025375455666,0.04435379970037545,0.0,0.0,0.6518986681052524,0.10315327271789324,0.008775269302051057,0.02019558385111782,0.2450256347901762,0.09313479998894651,0.0,0.0
Ville isolée (commune BFS) Langenthal,87,0.04332119890373447,0.04093025366316705,0.05205986322912416,0.04466353514747874,0.0,0.0,0.5202439438552074,0.10044420293623534,0.007244466317223185,0.017050435821174662,0.35522205430887804,0.09622018225765253,0.02190847338583272,0.029431129778160647
Ville isolée (commune BFS) Einsiedeln,171,0.0736591115564948,0.03746030884432664,0.043518563625033445,0.029258243332794476,0.0019123101168326793,0.0062652183221003944,0.7343398288010117,0.06334093421317458,0.0026073643164481425,0.007313186280568367,0.11212126657479103,0.04524738895789629,0.031841555009388255,0.025179265185981795
Ville isolée (commune BFS) Davos,66,0.14319143521682734,0.0808535711143564,0.044028485905091945,0.0473574311941198,0.024976468158116674,0.03602233391174487,0.43765791341180865,0.11451607982338415,0.06955332182593943,0.058722355643668366,0.2737282191995282,0.10292198577219476,0.006864156282687704,0.019058850156011914
Ville isolée (commune BFS) Martigny,58,0.024825286946851474,0.0383129074896631,0.006085881972597977,0.01915106584225069,0.0,0.0,0.9687518123059168,0.04284256241599626,0.0,0.0,0.0,0.0,0.00033701877463371315,0.004519710411327621
Toutes les ville isolées,457,0.06260189642273636,0.021250464806039784,0.037776606574220536,0.01672484419962919,0.004238510982748694,0.00569897790202017,0.6729244649653967,0.04115473814709777,0.014486599702023243,0.010481589581145211,0.19461947223467946,0.03473012620011178,0.013352449118194906,0.010068717142651304
