Agglomération,Echantillon,Total,Total (+/-),A pied,A pied (+/-),Vélo (incl. vélo électrique),Vélo (incl. vélo électrique) (+/-),Deux-roues motorisé,Deux-roues motorisé (+/-),Voiture,Voiture (+/-),Transports publics routiers,Transports publics routiers (+/-),Train,Train (+/-),Autres,Autres (+/-)
Agglomération Zug,594,36.62903033022787,4.595423205754439,1.9545923614561116,0.23990416174914617,1.540665939765468,0.5107585163327399,0.18044151531404443,0.22183420138499868,25.499403511791666,4.414085780137863,1.258311955109529,0.3426219402948687,5.973615241287922,1.7158565028559742,0.2219998055031311,0.17109183518234178
Agglomération Lugano (CH),591,26.189598366201864,3.8120339353546853,1.7083599312289692,0.1951002061880269,0.3769211931099495,0.29399789355305694,0.8124054877358505,0.3871761417021356,17.698628221286643,2.536771978877756,0.8588879335375291,0.3649728296132838,2.748580456497727,1.6142275216771609,1.985815142805194,2.327456645991591
Agglomération Delémont,336,37.21659146063572,6.65002520716332,1.6117370915074671,0.251941370646849,0.6141925892136985,0.47151621289477563,0.2993068508067942,0.5269326578940688,24.205087347344257,5.3893357773377595,0.44491454013928633,0.195467321234918,8.63807479776728,3.7425323604477,1.4032782438569398,1.6241889430470178
Agglomération Sierre-Montana,258,28.882957702854238,5.838684853465262,1.6748560162241453,0.32352837550274544,0.23145666543222912,0.285013679527022,0.6166533025356246,1.2851179986891244,22.011666540337515,4.954819110349175,0.4185236602134196,0.2255937397884018,3.7750543965557175,2.6914592306385963,0.15474712155558626,0.17599536609020938
Agglomération Buchs (SG) (CH),275,38.95967257774032,7.799876772627397,1.7242309379537832,0.3806944027313311,1.7230012827607957,0.6070267823293655,0.3109667714469624,0.5997767303220618,30.97369319581255,7.670898757630652,0.6737144211320945,0.41098708673230694,3.4857400215211625,2.3860620280234204,0.06832594711297856,0.0939640660817161
Agglomération Monthey-Aigle,277,39.60061991776125,6.3697602755514104,1.8821557112714402,0.45215757316781363,0.8614195370517176,0.7082160614293026,0.134676864440375,0.2008767521026315,29.3967567847785,5.671820968279066,0.18909781342434234,0.1480884573875102,5.657191711943208,2.777327747724569,1.4793214948516644,1.3439948642130923
Agglomération de taille K,11321,37.2702311771564,1.0648462435669719,1.830414366158519,0.05774800443995932,0.9451881596160019,0.09132548410600907,0.44917771880455437,0.12148149093629168,24.9286970651173,0.8831464555104251,0.727017783305959,0.11269453176516267,7.739960496306769,0.6002908687225365,0.6497755878472931,0.18421847441837721
Agglomération de taille M,16183,36.202119569635016,0.8514983877073575,1.9472723527144915,0.04678118267217648,0.9506768906078528,0.06857476168293046,0.41106496482066546,0.08715984969824067,23.04072541414689,0.6830604823609058,1.2768297829091964,0.06601095670317547,7.880083265924971,0.5157944883089902,0.6954668985109508,0.18267047712274787
Agglomération de taille G,16933,32.85292208026866,0.7900628522633221,2.070159347858882,0.04444593854364474,0.8968675217628852,0.0650742038350543,0.5461152584255357,0.12015749233725062,18.737548263011146,0.623741886006593,2.113009993659928,0.07423577784007665,7.897670527441569,0.4910546341667651,0.5915511681087169,0.14118150189134396
Toutes les agglomérations,44437,34.66948777121288,0.5047182345116625,1.9921152192013927,0.027981427955801053,0.9227310597056285,0.041510188177220964,0.48477276250789386,0.06551269512477206,21.147168711165268,0.40459744072909665,1.6179466515319458,0.04593029541488655,7.868401938384834,0.30596559103616333,0.6363514287159152,0.09663927870121217
Hors agglomérations,12653,42.70478240638413,1.0527148391391985,1.709960337450375,0.05548748928636,0.7895596667073579,0.08279224745008645,0.6617215611152393,0.1448584988999361,31.0870082139839,0.883781440564438,1.121535624012195,0.11234635402768398,6.509629086589039,0.5711922510856441,0.8253679165260285,0.22067381207784395
Ville isolée (commune BFS) Lyss,48,44.42998189660255,20.518442703133235,1.5490303526315854,0.7114316331842314,0.7712167629744805,0.6011873344986645,0.5165350976988976,1.1775068632192576,31.013796539541374,20.650251755427355,0.5030660547407544,0.48884793969776275,10.076337089015457,6.842443325649374,0.0,0.0
Ville isolée (commune BFS) Langenthal,58,42.966584154121016,13.802923401252063,1.3321987104202566,0.603943118318185,0.49147458457117865,0.4068285361979603,0.108090559380846,0.20531544287060635,23.427656417817065,11.6510872981466,0.8804846654837449,0.9691621692754193,16.480354719633247,9.309624904041376,0.24632449681467705,0.4801824909398119
Ville isolée (commune BFS) Einsiedeln,135,38.31606797344565,8.377111043745517,2.115288448033911,0.5293782721382441,0.6175386649227727,0.458558455403973,0.0,-,25.398705588317483,6.659493030290784,1.8105566928794592,2.7364717609084592,7.0071351050156565,4.47835781306079,1.366843474276364,2.609712372165531
Ville isolée (commune BFS) Davos,57,48.997956256052994,19.08691529065934,2.480431991354868,0.8740341628745847,0.5739555960123508,0.45840632000128684,0.0,-,33.484733112557656,16.63478915427433,1.226558118478188,0.9630228177893003,5.522105091699878,6.17384549811462,5.710172345950047,9.310429315689767
Ville isolée (commune BFS) Martigny,200,32.23806530354337,7.3444044431102355,1.8085516844520408,0.35443268705132563,0.22036764239357737,0.16955952643120759,0.17050947624569393,0.13320951115286345,22.037590680087394,5.384712326525182,0.21402896814237066,0.18826264583890856,7.787016852222295,5.501799423029818,0.0,0.0
Toutes les ville isolées,498,40.72727603801329,5.266433234021773,1.8261915807301257,0.2452362032581568,0.5160801903922028,0.1694854601395121,0.15412038330879468,0.1612799680521419,26.43973590980375,4.576889732455421,0.906383138173231,0.6825739122716054,9.632855419841942,2.7893205079409533,1.2519094157632333,1.4087796338554184
